1	07.03.2011	K	126	25	8	3	1	5	4	E	E	E	E	E	2	2	2	3	2	2	4	1	2	2	1	3	2	1
2	18.08.2011	E	126	23	8	2	4	3	2	E	E	H	E	E	1	1	2	3	1	3	2	1	3	2	1	2	3	1
3	13.01.2012	E	135	37	11	2	2	3	2	E	E	H	E	E	2	1	2	4	3	1	2	3	4	4	3	2	3	4
4	22.06.2011	K	130	24	9	1	1	4	3	H	H	E	E	E	1	3	1	3	1	2	3	2	3	1	1	4	3	2
5	13.02.2012	E	126	26	7	5	1	3	4	E	H	H	E	E	1	1	1	1	1	2	3	1	3	4	1	2	3	2
6	15.01.2011	K	128	27	8	2	1	4	4	E	E	H	E	E	1	2	2	1	1	3	1	4	3	1	4	2	1	2
7	18.08.2012	E	135	33	10	2	3	3	2	E	E	H	E	H	2	2	3	3	4	2	3	2	3	4	2	4	2	1
8	13.03.2011	E	130	20	9	4	2	4	2	E	E	E	E	E	1	2	3	3	2	3	4	3	3	2	1	2	3	1
9	06.01.2012	K	120	19	10	1	2	2	2	E	E	H	H	H	1	1	2	3	2	2	3	3	3	4	1	2	3	1
10	01.04.2012	K	122	24	11	1	1	3	3	E	H	H	H	E	1	2	1	3	3	3	4	2	3	1	1	2	3	2
11	20.02.2012	K	125	27	10	1	1	3	2	E	E	H	E	H	2	2	2	3	3	2	4	1	4	4	1	2	3	4
12	02.07.2009	E	148	32	10	3	0	3	3	E	H	E	E	H	2	2	2	3	3	3	2	3	4	1	2	3	2	2
13	17.09.2009	E	155	34	10	2	2	3	4	E	E	H	E	E	1	2	3	3	3	2	3	1	1	4	3	2	1	2
14	28.07.2009	E	147	34	10	2	1	3	3	E	E	H	E	H	2	3	2	2	2	4	3	1	3	2	2	2	3	1
15	01.04.2009	E	132	30	8	3	1	4	4	E	E	H	E	E	1	4	4	3	3	3	3	2	3	2	1	2	1	3
16	08.05.2009	E	140	34	9	2	2	3	5	E	E	H	E	E	2	2	2	3	2	2	3	3	2	4	1	2	3	1
17	15.03.2009	K	130	25	9	4	2	3	2	E	E	H	E	E	1	1	2	2	2	1	1	3	4	1	2	3	2	1
18	20.12.2009	K	120	25	10	2	1	3	4	E	H	E	E	E	2	2	2	3	2	1	3	1	2	4	1	2	3	2
19	17.12.2008	E	147	37	10	3	1	3	2	E	E	H	E	E	2	1	2	3	1	2	3	1	3	4	1	2	3	2
20	30.07.2009	E	130	31	10	5	1	2	5	E	E	H	H	E	2	2	1	2	4	2	4	2	3	4	1	2	3	4
21	19.03.2009	E	133	33	10	3	3	5	3	E	E	H	H	E	1	1	1	3	3	2	2	4	1	2	4	2	3	2
22	23.02.2009	E	135	35	10	3	1	4	4	E	E	H	H	H	1	1	3	3	1	1	2	4	2	2	2	2	3	2
23	23.03.2009	K	143	36	8	3	2	3	3	E	E	H	E	E	1	1	1	1	4	2	4	2	3	4	2	3	1	4
24	06.01.2009	K	156	50	10	1	1	2	2	E	E	E	E	H	2	3	2	3	2	2	4	1	3	4	1	2	4	3
25	02.07.2010	K	133	35	9	2	2	3	3	E	E	H	E	H	3	2	2	3	2	3	3	1	3	4	1	2	3	4
26	03.04.2009	E	123	26	6	2	3	3	3	H	H	E	E	E	1	1	2	4	1	3	4	4	3	1	1	2	2	1
27	05.02.2010	K	135	32	9	3	1	3	2	E	E	H	H	H	4	1	1	3	2	1	3	4	3	4	1	2	3	4
28	06.04.2010	E	142	28	8	2	1	3	3	E	E	E	H	E	1	2	1	3	1	3	4	2	2	2	2	2	1	3
29	22.02.2010	E	141	30	10	2	2	3	2	E	E	H	E	H	1	1	1	3	3	2	2	1	1	4	4	2	3	2
30	17.08.2012	K	121	24	8	2	3	4	2	E	E	H	H	H	1	1	2	4	4	1	3	4	4	4	2	3	4	2
31	09.10.2012	E	122	22	10	2	2	4	3	E	E	H	E	H	1	2	2	3	3	3	3	2	4	4	1	2	1	4
32	02.07.2012	E	119	23	10	1	1	4	2	E	E	H	E	E	1	1	2	4	3	2	3	2	3	4	3	2	2	1
33	14.11.2012	K	120	21	10	3	2	4	2	E	E	H	E	E	2	1	2	3	3	3	2	4	1	4	2	3	1	2
